roi_id,roi_name,roi_voxels_total,roi_voxels_in_devatlas,assigned_net_id,assigned_system,assigned_net_voxels,assigned_net_pct_in_devatlas,second_net_id,second_net_voxels,second_net_pct_in_devatlas
1,A8m_L,791,787,21,DefaultMode,309,0.39263,5,216,0.27446
2,A8m_R,883,870,5,VentralAttention,418,0.48046,13,250,0.287356
3,A8dl_L,907,906,9,DefaultMode,276,0.304636,7,212,0.233996
4,A8dl_R,741,740,8,Control,368,0.497297,2,155,0.209459
5,A9l_L,776,772,9,DefaultMode,552,0.715026,21,211,0.273316
6,A9l_R,914,902,9,DefaultMode,636,0.7051,8,266,0.2949
7,A6dl_L,644,643,15,DorsalAttention,194,0.301711,11,175,0.272162
8,A6dl_R,664,659,5,VentralAttention,229,0.347496,11,195,0.295903
9,A6m_L,758,757,5,VentralAttention,369,0.48745,16,230,0.303831
10,A6m_R,744,743,5,VentralAttention,423,0.569314,16,182,0.244953
11,A9m_L,689,688,13,VentralAttention,324,0.47093,20,191,0.277616
12,A9m_R,892,889,13,VentralAttention,387,0.435321,9,253,0.284589
13,A10m_L,1075,1065,9,DefaultMode,970,0.910798,13,80,0.075117
14,A10m_R,924,897,9,DefaultMode,894,0.996656,13,3,0.003344
15,A9/46d_L,1089,1087,9,DefaultMode,353,0.324747,5,238,0.218951
16,A9/46d_R,1021,1020,5,VentralAttention,283,0.277451,2,191,0.187255
17,IFJ_L,815,815,20,Control,632,0.77546,7,151,0.185276
18,IFJ_R,618,582,8,Control,383,0.658076,20,96,0.164948
19,A46_L,805,792,7,Control,290,0.366162,13,160,0.20202
20,A46_R,1019,1001,8,Control,725,0.724276,13,120,0.11988
21,A9/46v_L,1007,1007,20,Control,513,0.509434,6,490,0.486594
22,A9/46v_R,946,932,8,Control,592,0.635193,6,193,0.207082
23,A8vl_L,991,991,7,Control,496,0.500505,20,137,0.138244
24,A8vl_R,810,807,8,Control,774,0.959108,20,33,0.040892
25,A6vl_L,636,636,7,Control,159,0.25,20,133,0.209119
26,A6vl_R,592,590,8,Control,266,0.450847,11,122,0.20678
27,A10l_L,794,411,7,Control,277,0.673966,9,74,0.180049
28,A10l_R,1031,737,8,Control,567,0.769335,9,132,0.179104
29,A44d_L,327,327,20,Control,199,0.608563,6,66,0.201835
30,A44d_R,349,345,20,Control,212,0.614493,5,65,0.188406
31,IFS_L,384,384,20,Control,329,0.856771,21,46,0.119792
32,IFS_R,320,312,6,Control,185,0.592949,20,125,0.400641
33,A45c_L,318,318,21,DefaultMode,304,0.955975,20,8,0.025157
34,A45c_R,374,362,21,DefaultMode,162,0.447514,13,82,0.226519
35,A45r_L,381,381,21,DefaultMode,269,0.706037,20,112,0.293963
36,A45r_R,412,383,21,DefaultMode,189,0.493473,6,115,0.300261
37,A44op_L,471,471,13,VentralAttention,240,0.509554,21,179,0.380042
38,A44op_R,557,557,13,VentralAttention,348,0.624776,5,136,0.244165
39,A44v_L,280,280,21,DefaultMode,138,0.492857,5,116,0.414286
40,A44v_R,273,273,5,VentralAttention,192,0.703297,4,52,0.190476
41,A14m_L,518,494,9,DefaultMode,450,0.910931,1,44,0.089069
42,A14m_R,630,630,9,DefaultMode,605,0.960317,1,25,0.039683
43,A12/47o_L,536,494,9,DefaultMode,219,0.44332,20,95,0.192308
44,A12/47o_R,491,446,8,Control,210,0.470852,9,187,0.419283
45,A11l_L,926,505,6,Control,265,0.524752,20,112,0.221782
46,A11l_R,1210,666,8,Control,290,0.435435,9,259,0.388889
47,A11m_L,637,150,1,DefaultMode,83,0.553333,9,56,0.373333
48,A11m_R,732,229,1,DefaultMode,160,0.69869,9,69,0.30131
49,A13_L,919,458,9,DefaultMode,353,0.770742,13,45,0.098253
50,A13_R,800,344,9,DefaultMode,242,0.703488,1,54,0.156977
51,A12/47l_L,568,557,21,DefaultMode,202,0.362657,13,184,0.330341
52,A12/47l_R,494,451,13,VentralAttention,245,0.543237,8,136,0.301552
53,A4hf_L,897,897,22,Sensorimotor,606,0.675585,19,151,0.168339
54,A4hf_R,522,521,22,Sensorimotor,468,0.898273,5,37,0.071017
55,A6cdl_L,709,709,19,Sensorimotor,323,0.455571,5,236,0.332863
56,A6cdl_R,886,886,17,Sensorimotor,325,0.366817,5,321,0.362302
57,A4ul_L,624,624,19,Sensorimotor,359,0.575321,16,265,0.424679
58,A4ul_R,626,626,17,Sensorimotor,489,0.78115,16,69,0.110224
59,A4t_L,283,282,16,Sensorimotor,245,0.868794,19,37,0.131206
60,A4t_R,431,425,16,Sensorimotor,383,0.901176,17,37,0.087059
61,A4tl_L,434,434,4,VentralAttention,280,0.645161,5,82,0.18894
62,A4tl_R,424,421,4,VentralAttention,274,0.650831,5,88,0.209026
63,A6cvl_L,745,745,18,DorsalAttention,230,0.308725,20,187,0.251007
64,A6cvl_R,675,674,18,DorsalAttention,304,0.451039,5,160,0.237389
65,A1/2/3ll_L,344,344,16,Sensorimotor,313,0.909884,15,28,0.081395
66,A1/2/3ll_R,472,472,16,Sensorimotor,325,0.688559,4,64,0.135593
67,A4ll_L,492,492,16,Sensorimotor,486,0.987805,19,6,0.012195
68,A4ll_R,601,600,16,Sensorimotor,599,0.998333,17,1,0.001667
69,A38m_L,727,262,21,DefaultMode,190,0.725191,9,63,0.240458
70,A38m_R,661,147,1,DefaultMode,91,0.619048,9,49,0.333333
71,A41/42_L,505,505,3,Sensorimotor,505,1.0,24,0,0.0
72,A41/42_R,371,371,3,Sensorimotor,361,0.973046,22,7,0.018868
73,TE1.0/TE1.2_L,801,801,3,Sensorimotor,757,0.945069,4,16,0.019975
74,TE1.0/TE1.2_R,729,725,3,Sensorimotor,565,0.77931,4,83,0.114483
75,A22c_L,585,579,3,Sensorimotor,422,0.728843,21,157,0.271157
76,A22c_R,555,533,3,Sensorimotor,524,0.983114,22,8,0.015009
77,A38l_L,497,393,21,DefaultMode,268,0.681934,3,112,0.284987
78,A38l_R,649,502,21,DefaultMode,247,0.492032,3,187,0.37251
79,A22r_L,644,643,21,DefaultMode,372,0.578538,3,266,0.413686
80,A22r_R,367,348,3,Sensorimotor,286,0.821839,21,34,0.097701
81,A21c_L,568,510,7,Control,425,0.833333,1,57,0.111765
82,A21c_R,707,655,8,Control,605,0.923664,1,45,0.068702
